тип	уровень	фраза	наш перевод	переводы Wiktionary	сверка перевода	буквально	наше определение	определение Wiktionary	сверка определения	пример	перевод примера	пример подтверждён	замечания
idiom	B2	off the top of my head	навскидку, не задумываясь	навскидку; экспромтом	совпал	с верхушки моей головы	without checking or thinking long	In an extemporaneous manner; without careful thought, preparation, or investigation.	совпал				примера нет: длина английского предложения
idiom	B2	hit the nail on the head	попасть в точку	попасть в точку	совпал	ударить по гвоздю по шляпке	to say exactly the right thing	To identify something exactly; to arrive at exactly the right answer.	совпал	He hit the nail on the head.	Он попал в яблочко.	да	
idiom	B2	beat around the bush	ходить вокруг да около	ходить вокруг да около; тянуть резину; тянуть рязину	совпал	бить вокруг куста	to avoid saying the main thing	To treat a topic, but omit its main points, often intentionally.	совпал	Don't beat around the bush.	Хватит ходить вокруг да около.	да	недетское слово во фразе: beat
idiom	B2	spill the beans	проболтаться	проговориться; проболтаться	совпал	рассыпать бобы	to tell a secret	To reveal a secret; to disclose information.	совпал	Don't spill the beans.	Не проболтайся!	да	
idiom	B2	let the cat out of the bag	выдать секрет	вынести сор из избы	РАЗОШЁЛСЯ	выпустить кота из мешка	to reveal a secret by accident	To disclose a secret; to let a secret be known, often inadvertently.	совпал	Don't let the cat out of the bag.	Не проболтайся.	нет	перевод расходится с Wiktionary: вынести сор из избы; пример не подтверждён переводом — проверить значение
idiom	B2	the last straw	последняя капля	последняя капля	совпал	последняя соломинка	the last small problem that makes you give up	A small addition to an already heavy burden which causes it to exceed the capacity.	совпал	That's the last straw.	Это последняя капля.	да	
idiom	B2	a drop in the ocean	капля в море		нечем	капля в океане	a very small part of what is needed	A very small or insignificant amount; something of little importance.	совпал	It's a drop in the ocean.	Это капля в море.	да	
idiom	B2	the tip of the iceberg	верхушка айсберга		нечем	кончик айсберга	the small visible part of a big problem		нечем	It's the tip of the iceberg.	Это верхушка айсберга.	да	
idiom	B2	see eye to eye	сходиться во взглядах	находить общий язык; сходиться во взглядах	совпал	видеть глаз в глаз	to agree with someone	To agree, especially in every respect; to concur; to get along.	совпал	I don't see eye to eye with my father.	Мы с отцом расходимся во взглядах.	да	
idiom	B2	pull someone's leg	разыгрывать, подшучивать	дразнить; насмехаться; подкалывать; прикалываться	РАЗОШЁЛСЯ	тянуть кого-то за ногу	to tell someone something untrue as a joke	To tease someone; to lead someone on; to goad someone into overreacting.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To tease someone; to lead someone on; to goad someone into overreacting.; перевод расходится с Wiktionary: дразнить; насмехаться; подкалывать; прикалываться; примера нет: нет предложений в Tatoeba
idiom	B2	break the news	сообщить новость	сообщить (неприятные) новости	совпал	сломать новость	to tell someone important news	To inform someone of something first, usually used when it will be difficult to tell the person.	совпал	I don't want to be the one who breaks the news to her.	Я не хочу быть тем, кто сообщит ей это известие.	да	
idiom	B2	get the hang of	приноровиться, освоить	наловчиться	РАЗОШЁЛСЯ	схватить свисание	to learn how to do something	To begin to understand or manage at a basic level; to learn to handle with some skill.	совпал	You'll get the hang of it.	Ты привыкнешь.	нет	перевод расходится с Wiktionary: наловчиться; пример не подтверждён переводом — проверить значение
idiom	B2	hang in there	держись, не сдавайся		нечем	висеть там	used to tell someone not to give up	To remain in a particular place or status; to survive, maintain, persist, persevere; to resist.	РАЗОШЁЛСЯ	Hang in there.	Не сдавайся!	да	определение Wiktionary про другое значение: To remain in a particular place or status; to survive, maintain, persist, persevere; to resist.
idiom	B2	in the same boat	в одной лодке	в одной лодке	совпал	в той же лодке	in the same difficult situation	In the same situation or predicament; having the same problems.	совпал	I'm in the same boat.	Я нахожусь в той же лодке.	да	
idiom	B2	jump to conclusions	делать поспешные выводы		нечем	прыгать к выводам	to decide too quickly without facts	To make conclusions before being presented with all the evidence.	РАЗОШЁЛСЯ	Never jump to conclusions.	Никогда не делайте поспешных выводов.	да	определение Wiktionary про другое значение: To make conclusions before being presented with all the evidence.
idiom	B2	keep your chin up	не вешать нос		нечем	держи подбородок вверх	used to tell someone to stay cheerful		нечем				примера нет: не для детей [секс и ругательства]: bitch
idiom	B2	miss the boat	упустить момент		нечем	пропустить лодку	to be too late for a chance	To fail to take advantage of an opportunity.	РАЗОШЁЛСЯ	He's missed the boat.	Он упустил удобный случай.	да	определение Wiktionary про другое значение: To fail to take advantage of an opportunity.
idiom	B2	on the same page	понимать друг друга одинаково		нечем	на той же странице	agreeing about what is happening	In broad agreement or sharing a common general understanding or knowledge (common in office environments).	совпал	We're on the same page.	Мы на одной волне.	нет	пример не подтверждён переводом — проверить значение
idiom	B2	out of the blue	как гром среди ясного неба	как снег на голову	РАЗОШЁЛСЯ	из синевы	completely unexpectedly	Unexpectedly; without warning or preparation.	совпал	It was like a bolt out of the blue.	Это было как гром среди ясного неба.	да	перевод расходится с Wiktionary: как снег на голову
idiom	B2	over the moon	на седьмом небе	восторженный	РАЗОШЁЛСЯ	над луной	very pleased about something	Delighted, thrilled.	РАЗОШЁЛСЯ	He was over the moon.	Он был на седьмом небе.	да	определение Wiktionary про другое значение: Delighted, thrilled.; перевод расходится с Wiktionary: восторженный
idiom	B2	pull yourself together	взять себя в руки	приходить в себя; собираться; брать себя в руки; прийти в себя; собраться	совпал	стянуть себя вместе	to become calm and in control again	To become mentally focused after a period of being unfocused; to regain control of oneself.	совпал	Pull yourself together.	Возьми себя в руки.	да	
idiom	B2	put yourself in someone's shoes	поставить себя на чьё-то место		нечем	встать в чужие ботинки	to imagine how another person feels		нечем				примера нет: фразы нет в предложении
idiom	B2	ring a bell	что-то напоминать, казаться знакомым	быть знакомым; припоминать	совпал	звонить в колокол	to sound familiar	To seem at least vaguely familiar.	совпал	That rings a bell.	Что-то напоминает.	да	
idiom	B2	under your nose	под самым носом		нечем	под твоим носом	very close but not noticed		нечем	It's right under your nose.	Это у тебя прямо под носом.	да	
idiom	B2	up in the air	ещё не решено, висит в воздухе	неопределённый; нерешённый; повисший в воздухе	совпал	вверху в воздухе	not decided yet	Not yet resolved, finished, answered, decided or certain.	совпал	That's still up in the air.	Это ещё окончательно не решено.	да	
idiom	B2	a walk in the park	плёвое дело		нечем	прогулка в парке	something very easy		нечем	I took a walk in the park.	Я прогулялся по парку.	нет	пример не подтверждён переводом — проверить значение
idiom	B2	you can say that again	вот именно, полностью согласен	и не говори!; и не говорите!; это уж точно!	РАЗОШЁЛСЯ	ты можешь сказать это снова	used to strongly agree	That is very true.	РАЗОШЁЛСЯ	You can say that again.	Ты полностью прав!	да	определение Wiktionary про другое значение: That is very true.; перевод расходится с Wiktionary: и не говори!; и не говорите!; это уж точно!
idiom	B2	save for a rainy day	откладывать на чёрный день		нечем	беречь на дождливый день	to keep money for a future need	To keep some money back for possible expensive problems in the future.	совпал	Save for a rainy day.	Откладывай на чёрный день.	да	
idiom	B2	tighten your belt	затянуть пояс потуже		нечем	затянуть ремень	to spend less money than before		нечем				примера нет: нет предложений в Tatoeba
idiom	B2	make ends meet	сводить концы с концами	сводить концы с концами	совпал	заставить концы встретиться	to have just enough money to live	To have enough money to cover expenses; to get by financially; to get through the pay period.	совпал	I can't make ends meet now.	В настоящее время я не могу свести концы с концами.	да	
idiom	B2	break the bank	влететь в копеечку	сорвать банк; прогореть; вылететь в трубу	РАЗОШЁЛСЯ	разорить банк	to cost more than you can afford	At a casino etc., to win all the money that is available to be paid.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: At a casino etc., to win all the money that is available to be paid.; перевод расходится с Wiktionary: сорвать банк; прогореть; вылететь в трубу; примера нет: нет предложений в Tatoeba
idiom	B2	worth its weight in gold	на вес золота	на вес золота	совпал	стоит своего веса в золоте	extremely useful or valuable	Very valuable.	совпал	Good advice is worth its weight in gold.	Хороший совет — на вес золота.	да	
idiom	B2	a golden opportunity	прекрасная возможность		нечем	золотая возможность	a very good chance		нечем	I missed a golden opportunity.	Я упустил драгоценную возможность.	да	
idiom	B2	the best of both worlds	и то и другое сразу		нечем	лучшее из обоих миров	the advantages of two different things at once		нечем				примера нет: нет предложений в Tatoeba
idiom	B2	get down to business	перейти к делу		нечем	спуститься к делу	to start the serious work		нечем	Let's get down to business.	Давайте приступим к делу.	да	
idiom	B2	in the long run	в конечном счёте	долгосрочно; в перспективе	РАЗОШЁЛСЯ	в долгом беге	over a long period of time	After a very long time; eventually; over a long period of time; more generally.	совпал	Honesty pays in the long run.	Честность в конечном счёте окупается.	да	перевод расходится с Wiktionary: долгосрочно; в перспективе
idiom	B2	read between the lines	читать между строк	читать между строк	совпал	читать между строк	to understand what is not said directly	To infer a meaning that is not stated explicitly.	РАЗОШЁЛСЯ	Read between the lines.	Читайте между строк.	да	определение Wiktionary про другое значение: To infer a meaning that is not stated explicitly.
idiom	B2	blow off steam	выпустить пар	спустить пар	совпал	выпустить пар	to get rid of anger in a harmless way	To vent; to talk or take action (especially in a ranting or unrestrained way) so as to relieve stress.	совпал	I was just blowing off steam.	Я просто выпускал пар.	да	
idiom	B2	cry over spilt milk	плакать над пролитым молоком		нечем	плакать над пролитым молоком	to be upset about something you cannot change	To worry about unfortunate events which have already happened and which cannot be changed.	совпал	Don't cry over spilt milk.	Не плачь над пролитым молоком.	да	
idiom	B2	get out of hand	выйти из-под контроля	без раздумий; неуправляемый	РАЗОШЁЛСЯ	выйти из руки	to become impossible to control	Without (further) thought or consideration.	РАЗОШЁЛСЯ	This is getting out of hand.	Всё выходит из-под контроля.	да	определение Wiktionary про другое значение: Without (further) thought or consideration.; перевод расходится с Wiktionary: без раздумий; неуправляемый
idiom	B2	lose track of time	не замечать времени		нечем	потерять след времени	to forget what time it is		нечем				примера нет: нет предложений в Tatoeba
idiom	B2	on the tip of my tongue	вертится на языке		нечем	на кончике моего языка	almost remembered but not quite		нечем	It's on the tip of my tongue.	Это на кончике моего языка.	да	
idiom	B2	once in a lifetime	раз в жизни		нечем	однажды за жизнь	happening only once in your whole life		нечем	It happens only once in a lifetime.	Это случается лишь раз в жизни.	да	
idiom	B2	out of the question	исключено, не обсуждается		нечем	вне вопроса	completely impossible	Not remotely possible.	РАЗОШЁЛСЯ	It's out of the question.	Это исключено.	да	определение Wiktionary про другое значение: Not remotely possible.
idiom	B2	pick up the pace	ускориться, поднажать		нечем	поднять темп	to start moving or working faster	To begin moving or working faster.	совпал	They picked up the pace.	Они ускорили шаг.	да	
idiom	B2	play with fire	играть с огнём	играть с огнём	совпал	играть с огнём	to do something risky	To put oneself in a precarious situation with a high risk of getting harmed.	РАЗОШЁЛСЯ	Don't play with fire.	Не играй с огнём.	да	определение Wiktionary про другое значение: To put oneself in a precarious situation with a high risk of getting harmed.
idiom	B2	rain or shine	при любой погоде		нечем	дождь или солнце	whatever the weather is	Regardless of the circumstances; (more literally) regardless of the state of the weather.	совпал	I will go, rain or shine.	Я пойду в любом случае.	да	
idiom	B2	sleep on it	утро вечера мудренее	утро вечера мудренее	совпал	поспать на этом	to wait until tomorrow before deciding	To postpone (a decision) at least overnight, to avoid making a hasty choice.	РАЗОШЁЛСЯ	Sleep on it.	Утро вечера мудренее.	да	определение Wiktionary про другое значение: To postpone (a decision) at least overnight, to avoid making a hasty choice.
idiom	B2	speak your mind	говорить прямо, что думаешь		нечем	говорить свой разум	to say your opinion openly		нечем	Speak your mind.	Скажи, о чём ты думаешь.	да	
idiom	B2	the icing on the cake	вишенка на торте	вишенка на торте	совпал	глазурь на торте	an extra good thing added to something already good	A thing which intensifies the appreciation of something already good.	совпал	The swimming pool in the garden was the icing on the cake.	Бассейн в саду был вишенкой на пироге.	да	
idiom	B2	think outside the box	мыслить нестандартно	нестандартно	совпал	думать вне коробки	to find new and unusual ideas	Beyond the bounds of convention or normal practice.	РАЗОШЁЛСЯ	Think outside the box.	Мысли нестандартно.	да	определение Wiktionary про другое значение: Beyond the bounds of convention or normal practice.
idiom	B2	when pigs fly	когда рак на горе свистнет	после дождичка в четверг	РАЗОШЁЛСЯ	когда свиньи полетят	never		нечем	When pigs fly.	После дождичка в четверг!	нет	перевод расходится с Wiktionary: после дождичка в четверг; пример не подтверждён переводом — проверить значение
idiom	B2	easier said than done	легче сказать, чем сделать	проще сказать, чем сделать	совпал	легче сказано, чем сделано	harder to do than it sounds	Easy to propose, but difficult to accomplish.	РАЗОШЁЛСЯ	Easier said than done.	Легче сказать, чем сделать.	да	определение Wiktionary про другое значение: Easy to propose, but difficult to accomplish.
idiom	B2	give it a go	попробовать, рискнуть		нечем	дать этому ход	to try something	To try or attempt.	совпал	I'll give it a go.	Я попробую.	да	
idiom	B2	go with the flow	плыть по течению	плыть по течению	совпал	идти с потоком	to accept things as they happen	To act as others are acting, conforming to common behavior patterns with an attitude of calm acceptance.	совпал	Go with the flow.	Плыви по течению.	да	
idiom	B2	have a lot on your plate	быть загруженным делами		нечем	иметь много на тарелке	to have many things to do		нечем				примера нет: нет предложений в Tatoeba
idiom	B2	hold your horses	не гони, погоди	придержи коней; попридержи коней	РАЗОШЁЛСЯ	придержи лошадей	used to tell someone to wait	To be patient; to wait.	совпал	Hold your horses.	Попридержи коней.	нет	перевод расходится с Wiktionary: придержи коней; попридержи коней; пример не подтверждён переводом — проверить значение
idiom	B2	in the blink of an eye	в мгновение ока	в мгновение ока	совпал	в моргание глаза	extremely quickly	Immediately, instantaneously.	РАЗОШЁЛСЯ	He left in the blink of an eye.	Он исчез в мгновение ока.	да	определение Wiktionary про другое значение: Immediately, instantaneously.
idiom	B2	keep a cool head	сохранять хладнокровие		нечем	держать холодную голову	to stay calm in a hard moment	To keep one's cool; to stay calm.	совпал	Keep a cool head.	Сохраняйте хладнокровие.	да	
idiom	B2	last but not least	и наконец, что не менее важно	конечно	РАЗОШЁЛСЯ	последний, но не наименьший	used before the last item, which is also important	An expression to start the last item of a list, emphasising that while it is listed last.	совпал				перевод расходится с Wiktionary: конечно; примера нет: нет предложений в Tatoeba
idiom	B2	lose your temper	выйти из себя	терять самообладание; горячиться	РАЗОШЁЛСЯ	потерять свой характер	to suddenly become angry	To become angry or annoyed.	совпал	Don't lose your temper.	Не теряй самообладания.	нет	перевод расходится с Wiktionary: терять самообладание; горячиться; пример не подтверждён переводом — проверить значение
idiom	B2	mind your own business	не лезь не в своё дело	заниматься своим делом	совпал	занимайся своим делом	used to tell someone not to interfere	To concern oneself only with what is of interest to oneself and not interfere in the affairs of others.	совпал	Mind your own business.	Не суй нос не в своё дело.	да	
idiom	B2	on second thought	если подумать, пожалуй		нечем	по второй мысли	after thinking about it again	After reconsidering; on further consideration.	совпал	At first I thought I liked the plan, but on second thought I decided to oppose it.	Поначалу мне понравился этот план, но, подумав, я решил его отклонить.	да	
idiom	B2	out of the ordinary	необычный, из ряда вон		нечем	вне обычного	different from what is usual	Extraordinary, unusual, or exceptional, especially for the better.	РАЗОШЁЛСЯ	I did nothing out of the ordinary.	Я не сделал ничего необычного.	да	определение Wiktionary про другое значение: Extraordinary, unusual, or exceptional, especially for the better.
idiom	B2	the sky is the limit	предела нет		нечем	небо — предел	there is no limit to what is possible	Nothing is impossible or out of reach.	РАЗОШЁЛСЯ	The sky is the limit.	Возможностям нет предела.	да	определение Wiktionary про другое значение: Nothing is impossible or out of reach.
idiom	B2	back to square one	снова к началу	на круги своя; у разбитого корыта	РАЗОШЁЛСЯ	назад на клетку номер один	back to the start with no progress	Located back at the start, as after a dead end or failure.	совпал	We're back to square one.	Мы вернулись к самому началу.	да	перевод расходится с Wiktionary: на круги своя; у разбитого корыта
idiom	B2	a bird's eye view	вид с высоты птичьего полёта		нечем	вид птичьего глаза	a view from high above		нечем				примера нет: фразы нет в предложении
idiom	B2	child's play	детская забава, пустяк	игрушки; пустяки; семечки	совпал	детская игра	something very easy to do	Something particularly easy or simple.	совпал	That's child's play.	Это детская игра.	да	
idiom	B2	a change of heart	перемена во взглядах		нечем	смена сердца	a change in your opinion or feelings		нечем	She seems to have had a change of heart.	Она, кажется, передумала.	да	
idiom	B2	second nature	вторая натура, привычка	вторая натура	совпал	вторая природа	something you do easily without thinking	A mindset, skill, or type of behavior so ingrained through habit or practice that it seems natural, automatic.	РАЗОШЁЛСЯ	Habit is second nature.	Привычка — вторая натура.	да	определение Wiktionary про другое значение: A mindset, skill, or type of behavior so ingrained through habit or practice that it seems natural, automatic.
idiom	B2	in good hands	в надёжных руках		нечем	в хороших руках	being cared for by someone you can trust	Under the guidance of a capable being.	РАЗОШЁЛСЯ	It's in good hands.	Он в хороших руках.	да	определение Wiktionary про другое значение: Under the guidance of a capable being.
idiom	C1	once bitten, twice shy	обжёгшись на молоке, дуешь на воду	пуганая ворона куста боится	РАЗОШЁЛСЯ	раз укушен — дважды пуглив	after a bad experience you become careful	One is cautious if one has been hurt in the past.	РАЗОШЁЛСЯ	Once bitten, twice shy.	Обжёгшись на молоке, будешь дуть и на воду.	да	определение Wiktionary про другое значение: One is cautious if one has been hurt in the past.; перевод расходится с Wiktionary: пуганая ворона куста боится
idiom	C1	burn the midnight oil	работать допоздна	полуночничать; засиживаться	РАЗОШЁЛСЯ	жечь полуночное масло	to work or study late into the night	To work studiously, especially late into the night.	совпал	He's always burning the midnight oil.	Он постоянно засиживается допоздна.	да	перевод расходится с Wiktionary: полуночничать; засиживаться
idiom	C1	bite off more than you can chew	переоценить свои силы	переоценить свои силы	совпал	откусить больше, чем можешь прожевать	to take on more than you can manage	To try to do too much; to take on or attempt more than one is capable of doing.	совпал	Don't bite off more than you can chew.	Не откусывай больше, чем сможешь проглотить.	нет	пример не подтверждён переводом — проверить значение
idiom	C1	face the music	отвечать за последствия	расхлёбывать кашу	РАЗОШЁЛСЯ	встретить музыку	to accept the results of what you did	To accept or confront the unpleasant consequences of one's actions.	совпал				перевод расходится с Wiktionary: расхлёбывать кашу; примера нет: нет предложений в Tatoeba
idiom	C1	learn the ropes	войти в курс дела		нечем	выучить верёвки	to learn how a job is done	To learn the basics or master introductory knowledge.	совпал				примера нет: нет предложений в Tatoeba
idiom	C1	to make a long story short	короче говоря	короче говоря	совпал	чтобы сделать длинную историю короткой	used before giving only the main point	Introducing a short version of, or simply the conclusion of, a relevant story.	РАЗОШЁЛСЯ	To make a long story short, we married.	Короче говоря, мы поженились.	да	определение Wiktionary про другое значение: Introducing a short version of, or simply the conclusion of, a relevant story.
idiom	C1	play it by ear	действовать по обстоятельствам	действовать по обстоятельствам; импровизировать	совпал	играть на слух	to decide as the situation develops	To play guided by one's musical perception and intuition, rather than from a written score.	РАЗОШЁЛСЯ	You'll have to play it by ear at the interview.	На собеседовании придётся действовать по ситуации.	да	определение Wiktionary про другое значение: To play guided by one's musical perception and intuition, rather than from a written score.
idiom	C1	sit on the fence	занимать выжидательную позицию		нечем	сидеть на заборе	to avoid choosing a side	To remain neutral on a certain topic, to not have a stance or opinion.	РАЗОШЁЛСЯ	Quit sitting on the fence and make a decision!	Хватит выжидать, прими решение.	да	определение Wiktionary про другое значение: To remain neutral on a certain topic, to not have a stance or opinion.
idiom	C1	take it with a grain of salt	относиться с недоверием	скептически; недоверчиво	совпал	принять с крупинкой соли	to not fully believe something	With a little common sense and skepticism.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: With a little common sense and skepticism.; примера нет: нет предложений в Tatoeba
idiom	C1	the tables have turned	ситуация перевернулась		нечем	столы повернулись	the situation has reversed	To reverse a situation.	совпал				примера нет: длина английского предложения
idiom	C1	wrap your head around	уложить в голове, осознать		нечем	обернуть голову вокруг	to manage to understand something difficult	To come to a good understanding of.	совпал				примера нет: нет предложений в Tatoeba
idiom	C1	add fuel to the fire	подливать масла в огонь	подливать масло в огонь	совпал	добавить топлива в огонь	to make a bad situation worse	To worsen a conflict between people; to inflame an already tense situation.	совпал	Don't add fuel to the fire.	Не подливай масла в огонь.	да	
idiom	C1	a storm in a teacup	буря в стакане воды		нечем	шторм в чашке чая	a lot of noise about something unimportant		нечем				примера нет: фразы нет в предложении
idiom	C1	clear the air	разрядить обстановку	разрядить атмосферу	совпал	очистить воздух	to talk openly and remove bad feeling	To assuage a hostile or uncomfortable situation.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To assuage a hostile or uncomfortable situation.; примера нет: фразы нет в предложении
idiom	C1	cut corners	халтурить, делать наспех		нечем	срезать углы	to do something the quick cheap way	To do a less-than-thorough or incomplete job; to do something poorly; to take inappropriate shortcuts.	РАЗОШЁЛСЯ	I won't cut corners.	Я не буду халтурить.	да	определение Wiktionary про другое значение: To do a less-than-thorough or incomplete job; to do something poorly; to take inappropriate shortcuts.
idiom	C1	go the extra mile	сделать больше, чем требуется		нечем	пройти лишнюю милю	to make more effort than expected	To make an extra effort; to do a particularly good job.	совпал	Let's go the extra mile.	Давай сделаем больше.	да	
idiom	C1	put all your eggs in one basket	ставить всё на одну карту		нечем	положить все яйца в одну корзину	to risk everything on one plan	Do not dedicate all your resources to one project.	РАЗОШЁЛСЯ	Never put all your eggs in one basket.	Никогда не клади все яйца в одну корзину.	да	определение Wiktionary про другое значение: Do not dedicate all your resources to one project.
idiom	C1	take the bull by the horns	взять быка за рога	взять быка за рога	совпал	взять быка за рога	to deal with a hard problem directly	To deal with a matter in a direct manner, especially to confront a difficulty rather than avoid it.	совпал	You must take the bull by the horns.	Ты должен взять быка за рога.	да	
idiom	C1	the writing on the wall	тревожные признаки		нечем	надпись на стене	clear signs that something will fail		нечем	I can read the writing on the wall.	Я могу прочитать надпись на стене.	нет	пример не подтверждён переводом — проверить значение
idiom	C1	throw in the towel	сдаться, выбросить полотенце	признать своё поражение; признать себя побежденным; сложить оружие; поднять белый флаг; опустить руки	совпал	бросить полотенце	to admit that you have lost	To quit; to give up.	РАЗОШЁЛСЯ	I'm ready to throw in the towel.	Я готов сдаться.	да	определение Wiktionary про другое значение: To quit; to give up.
idiom	C1	touch base	связаться, свериться	консультироваться; совещаться; обсуждать; переговаривать	РАЗОШЁЛСЯ	коснуться базы	to make short contact with someone	To touch a base, usually with a foot but sometimes with a hand.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To touch a base, usually with a foot but sometimes with a hand.; перевод расходится с Wiktionary: консультироваться; совещаться; обсуждать; переговаривать; примера нет: нет предложений в Tatoeba
idiom	C1	bend over backwards	из кожи вон лезть	лезть из кожи вон; расшибаться в лепёшку	совпал	гнуться назад	to try extremely hard to help	To make a great effort; to take extraordinary care; to go to great lengths.	РАЗОШЁЛСЯ	I've been bending over backwards.	Я из кожи вон лез.	да	определение Wiktionary про другое значение: To make a great effort; to take extraordinary care; to go to great lengths.
idiom	C1	by the skin of your teeth	еле-еле, чудом		нечем	кожей своих зубов	only just, very narrowly		нечем				примера нет: нет предложений в Tatoeba
idiom	C1	hit the ground running	сразу взяться за дело		нечем	коснуться земли уже на бегу	to start a new task at full speed	To begin an activity immediately and with full commitment.	совпал				примера нет: нет предложений в Tatoeba
idiom	C1	keep a low profile	держаться в тени	тихариться	РАЗОШЁЛСЯ	держать низкий профиль	to avoid attention	To be discreet and quiet.	РАЗОШЁЛСЯ	Keep a low profile.	Держись в тени.	да	определение Wiktionary про другое значение: To be discreet and quiet.; перевод расходится с Wiktionary: тихариться
idiom	C1	let sleeping dogs lie	не буди лихо, пока тихо	не будите спящую собаку; от греха подальше	совпал	пусть спящие собаки лежат	to leave a settled problem alone	To leave things as they are; especially.	совпал	Let sleeping dogs lie.	Не буди лихо, пока оно тихо.	да	
idiom	C1	make a mountain out of a molehill	делать из мухи слона	делать из мухи слона	совпал	делать гору из кротовой кучки	to treat a small problem as a big one	To treat a problem as greater than it is.	совпал	You make a mountain out of a molehill.	Ты делаешь из мухи слона.	да	
idiom	C1	pay through the nose	платить втридорога		нечем	платить через нос	to pay far too much	To pay an exorbitant or excessive amount, either in money or in some other manner.	совпал	I don't want to pay through the nose for a hotel room.	Я не желаю платить бешеные деньги за номер в отеле.	да	
idiom	C1	second to none	непревзойдённый, лучше всех		нечем	второй ни для кого	better than all the others	As good as the best, as in quality or reputation; inferior to no one else or to nothing else of the same kind.	РАЗОШЁЛСЯ	He is second to none when it comes to debating.	Он лучший в дебатах.	да	определение Wiktionary про другое значение: As good as the best, as in quality or reputation; inferior to no one else or to nothing else of the same kind.
idiom	C1	take a rain check	перенести на другой раз		нечем	взять дождевой талон	to refuse an invitation but ask for a later one	To request or accept a rain check (an agreement from a merchant to honor a special offer.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To request or accept a rain check (an agreement from a merchant to honor a special offer.; примера нет: нет предложений в Tatoeba
idiom	C1	through thick and thin	и в горе, и в радости		нечем	сквозь толстое и тонкое	in good times and bad times alike	Through all (especially grim, rough and difficult) conditions; in all weathers.	РАЗОШЁЛСЯ	I'll stand by you through thick and thin.	Я буду поддерживать тебя во что бы то ни стало.	нет	определение Wiktionary про другое значение: Through all (especially grim, rough and difficult) conditions; in all weathers.; пример не подтверждён переводом — проверить значение
idiom	C1	under your belt	за плечами (об опыте)		нечем	под ремнём	already achieved and kept as experience		нечем				примера нет: нет предложений в Tatoeba
idiom	C1	up to scratch	на должном уровне		нечем	до царапины	good enough to meet the standard	Sufficient; adequate; of acceptable or satisfactory quality.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: Sufficient; adequate; of acceptable or satisfactory quality.; примера нет: нет предложений в Tatoeba
idiom	C1	water under the bridge	дело прошлое	прошлогодний снег	совпал	вода под мостом	something past that no longer matters	Something in the past that cannot be controlled or undone, but must be accepted, forgiven, or forgotten.	совпал	It's water under the bridge.	Это дело прошлое.	да	
idiom	C1	a whole new ball game	совсем другое дело		нечем	совсем новая игра в мяч	a completely different situation		нечем	It's one thing to speak a language; teaching it is a whole new ball game.	Говорить на языке - это одно, а обучать ему - совсем другое.	да	
idiom	C1	wear many hats	совмещать много ролей		нечем	носить много шляп	to do several different jobs at once	To have multiple roles or responsibilites, often in the same job or situation.	совпал				примера нет: нет предложений в Tatoeba
idiom	C1	with flying colours	с блеском, на отлично		нечем	с летящими флагами	with great success		нечем				примера нет: нет предложений в Tatoeba
idiom	C1	your guess is as good as mine	понятия не имею, как и ты	бабка надвое сказала	РАЗОШЁЛСЯ	твоя догадка не хуже моей	I do not know any more than you do	I don't know; I have no idea.	совпал	Your guess is as good as mine.	Я знаю столько же, сколько и ты.	нет	перевод расходится с Wiktionary: бабка надвое сказала; пример не подтверждён переводом — проверить значение
idiom	C1	cross that bridge when you come to it	решим, когда дойдём		нечем	перейти этот мост, когда до него дойдёшь	to deal with a problem only when it happens	To deal with a problem or situation only if and when it arises.	совпал				примера нет: нет предложений в Tatoeba
idiom	C1	don't count your chickens before they hatch	цыплят по осени считают	цыплят по осени считают	совпал	не считай цыплят, пока не вылупились	do not plan on something before it is certain	One should not depend upon a favorable.	РАЗОШЁЛСЯ	Don't count your chickens before they hatch.	Цыплят по осени считают.	да	определение Wiktionary про другое значение: One should not depend upon a favorable.
idiom	C1	leave no stone unturned	перепробовать все способы	обивать все пороги	совпал	не оставить ни одного камня неперевёрнутым	to try every possible way	To search or investigate thoroughly.	РАЗОШЁЛСЯ	Leave no stone unturned.	Переверните всё вверх дном.	да	определение Wiktionary про другое значение: To search or investigate thoroughly.
idiom	C1	at the drop of a hat	по первому же поводу, мгновенно	мигом; в мгновение ока; тут же; запросто	совпал	при падении шляпы	immediately, without needing a reason	Without any hesitation; instantly.	совпал	The weather here changes at the drop of a hat.	Погода здесь меняется в мгновение ока.	да	
idiom	C1	break new ground	открывать новые горизонты		нечем	ломать новую землю	to do something no one has done before	To begin excavating and levelling earth for a new building, or, originally, for cultivation.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To begin excavating and levelling earth for a new building, or, originally, for cultivation.; примера нет: нет предложений в Tatoeba
