слово	уровень	ранг	часть речи	перевод(черновик)	варианты перевода	пример	перевод примера	определение	категория	чего не хватает
creation	B1	3368	Noun	творение	детище; произведение	This is the cornerstone of creation.	Это краеугольный камень мироздания.	Something created such as an invention or artwork.		перевод примера относится к другому значению; категория не определилась (не определилась)
jaffa	C2	32648	Noun					A type of sweet orange, normally seedless.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
lapel	C2	32649	Noun	отворот	лацкан			Each of the two triangular pieces of cloth on the front of a jacket or coat that are folded back below the throat.	objects	пример: Tatoeba недоступна (offline: нет в кэше)
ironman	C2	32651	Noun					An extremely tough and strong athlete.	sports	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
ladies	A1	1182	Noun			Ladies first.	Сначала дамы.	Genitive of lady.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
bureau	B1	3376	Noun	бюро	контора; офис; канцелярия	The bureau drawer has several compartments.	У ящика письменного стола есть несколько отделений.	An administrative unit of government; office.	society	перевод примера относится к другому значению
documentation	B2	5237	Noun	документация				Something transposed from a thought to a document; the written account of an idea.	mind	пример: слова нет в предложении; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
underground	B1	3377	Adjective	подземный		I'm going underground.	Я ухожу в подполье.	Below the ground; below the surface of the Earth.	qualities	пример иллюстрирует другое значение (2 разных этимологий; части речи: Adjective/Adverb/Noun/Verb)
exhibition	B2	5238	Noun	показ		The exhibition hall is large.	Выставочный зал большой.	An instance of exhibiting, or something exhibited.		перевод примера относится к другому значению; категория не определилась (не определилась)
relaxation	C1	12802	Noun	расслабление	релаксация			The act of relaxing or the state of being relaxed; the opposite of stress or tension; the aim of recreation and leisure activities.	actions	пример: слова нет в предложении
cycle	B1	3378	Noun		complete rotation → цикл/оборот; process that repeats itself → цикл; series of works of art → цикл; program on a washing machine etc. → цикл	I cycle to work.	Я езжу в школу на велосипеде.	An interval of space or time in which one set of events or phenomena is completed.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
arsehole	C1	12804	Noun	кретин	придурок	What an arsehole.	Ну что за мудак!	An inconsiderate, mean-spirited, or otherwise contemptible person. (Less offensive than fucker or cunt.).		категория не определилась (не определилась)
daze	C2	32657	Noun	изумление	ошеломление; оцепенение	When I first got to New York, I was in a daze.	Впервые попав в Нью-Йорк, я был в изумлении.	The state of being dazed.		категория не определилась (не определилась)
motto	C1	12806	Noun		sentence, phrase or word forming part of → девиз; suggestive sentence, phrase or word → девиз	That was his life motto.	Это был его девиз в жизни.	A personal slogan.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
marmot	C2	32658	Noun	сурок	байбак	You need nine hours of sleep! You really are a marmot.	Тебе нужно девять часов сна! Да ты настоящий сурок.	Any of several large ground-dwelling rodents of the genera Marmota and Cynomys in the squirrel family.		категория не определилась (не определилась)
stage	A1	1186	Noun		phase → стадия/фаза/этап; in theatre → сцена/подмостки/эстрада; short for stagecoach → дилижанс; a degree of advancement on a journey → этап; number of an electronic circuit’s block → ступень	I get stage fright.	У меня мандраж.	One of the portions of a device (such as a rocket or thermonuclear weapon) which are used or activated in a particular order.	tech	перевод не привязывается к значению — риск взять чужое
seal	B1	3380	Noun	тюлень		I am a seal.	Я тюлень.	A pinniped (Pinnipedia), particularly an earless seal (true seal) or eared seal.		категория не определилась (не определилась)
sequence	B1	3383	Noun	последовательность	ряд; очерёдность	A convergent sequence is bounded.	Сходящаяся последовательность ограничена.	A set of things next to each other in a set order; a series.		категория не определилась (не определилась)
exhibit	B2	5244	Noun	показ		They saw the exhibit.	Они осмотрели экспозицию.	An instance of exhibiting.		перевод примера относится к другому значению; категория не определилась (не определилась)
weaker	C1	12813	Adjective			He's weaker than her.	Он слабее её.	Said of one proposition with respect to another one: that the latter entails the former, but the former does not entail the latter.	qualities	нет русского перевода в Wiktionary
barry	B1	3385	Noun					A field divided transversely into several equal parts, and consisting of two different tinctures interchangeably disposed.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
racketeering	C2	32664	Noun					The criminal action of being involved in a racket; especially, directing it.		нет русского перевода в Wiktionary; пример: слова нет в предложении; категория не определилась (не определилась)
format	B1	3387	Noun	формат		You should not format this diskette.	Вы не должны форматировать эту дискету.	The layout of a publication or document.		категория не определилась (не определилась)
shawnee	C2	32665	Noun					Virginia waterleaf (Hydrophyllum virginianum).		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
user	A1	1192	Noun	потребитель	потребительница; клиент	Hello! I'm a new user.	Привет! Я новый пользователь.	One who uses or makes use of something, a consumer or client or an express or implied licensee (free user) or a trespasser.	people	перевод примера относится к другому значению
romance	B1	3390	Noun	роман		Paranormal romances interest me.	Меня интересует любая паранормальщина.	An intimate relationship between two people; a love affair.		категория не определилась (не определилась)
imperial	B2	5247	Adjective	имперский	императорский; царский			Related to an empire, emperor, or empress.	qualities	пример: длина английского предложения
difference	A1	1193	Noun	разница	различие; отличие	Scant difference.	Разница невелика.	The quality of being different.		категория не определилась (не определилась)
const	B1	3391	Noun					A variable whose value cannot be changed directly.	change	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
checkup	C2	32667	Noun	проверка	осмотр	I recommend a thorough checkup for your husband.	Я советую тебе хорошенько проверить своего мужа.	A routine visit to the doctor, dentist, or the like.		категория не определилась (не определилась)
wildlife	B2	5250	Noun	дикая природа	живая природа; животный мир; фауна	This town offers wildlife tours where you can go and watch the bears, deer, wild rabbits and other creatures in their natural habitats.		Undomesticated animals, especially mammals, birds, and fish, which live in the wild.	animals	пример: нет предложений в Tatoeba
train	A1	1196	Noun	шлейф	трен	The train arrived.	Поезд приехал.	Elongated or trailing portion. The elongated back portion of a dress or skirt (or an ornamental piece of material added to similar effect).	objects	пример иллюстрирует другое значение (3 разных этимологий)
gazette	C1	12821	Noun	газета				A newspaper; a printed sheet published periodically.	objects	пример: нет предложений в Tatoeba
ornamental	C2	32670	Noun	орнаментальная				An ornamental plant.	nature	пример: длина английского предложения
celebrate	B1	3401	Verb	чествовать	прославлять; прославить	We should celebrate.	Мы должны праздновать.	To extol or honour in a solemn manner.	actions	перевод примера относится к другому значению
pad	B2	5252	Noun	подкладка	прокладка; подушечка; подкладка	I need a mouse pad.	Мне нужен коврик для мыши.	A flattened mass of anything soft, to sit or lie on.	objects	многозначное слово, подтвердить перевод нечем (6 разных этимологий)
enclosed	C1	12824	Adjective			She enclosed a photo.	Она прикрепила фотографию.	Contained; held within a container.	qualities	нет русского перевода в Wiktionary
smooth	B1	3402	Adjective	гладкий		His skin is smooth.	У неё нежная кожа.	Having a texture that lacks friction. Not rough.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Adverb/Noun/Verb)
spammer	C2	32672	Noun	спамер				Someone who sends spam.	people	пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
political	A1	1200	Adjective	политический		Political principles are rarely absolute, as political logic holds an imperfect result by compromise is better than a theoretically perfect abstention from the political process in the opposition.		Concerning or relating to politics, the art and process of governing.	art	пример: слова нет в предложении
ken	B1	3403	Verb	знать		Ken gave up.	Кен сдался.	To give birth, conceive, beget, be born; to develop (as a fetus); to nourish, sustain (as life).	change	многозначное слово, подтвердить перевод нечем (7 разных этимологий)
cassie	C1	12827	Noun					A thorny shrub with fragrant yellow flowers, Vachellia farnesiana; the needle bush.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
trace	B1	3405	Noun	слежка	прослушка	Don't leave a trace.	Не оставляй следов.	An act of tracing.	actions	пример иллюстрирует другое значение (2 разных этимологий; части речи: Noun/Adjective/Verb)
integrity	B2	5258	Noun	честность		Are you questioning my integrity?	Ты сомневаешься в моей честности?	Steadfast adherence to a strict moral or ethical code.		категория не определилась (не определилась)
referral	C1	12830	Noun	направление		The insurance company insists I get a referral from my regular doctor. I can't just go to the specialist; a GP has got to refer me.		The act or process of transferring someone or something to another, of sending by reference, or referring.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
slip	B1	3408	Verb	поскальзываться	поскользнуться	Don't slip.	Не подскользнись.	To lose one's traction on a slippery surface; to slide due to a lack of friction.	actions	многозначное слово, подтвердить перевод нечем (3 разных этимологий)
metro	B2	5260	Noun			I travel by metro.	Я езжу на метро.	A rapid transit rail transport system, or a train in such systems, generally underground and serving a metropolitan area.	travel	нет русского перевода в Wiktionary (вынесен на отдельную страницу)
agony	C1	12831	Noun	агония	страдание	I was in agony.	Я был в агонии.	Extreme pain or anguish.		категория не определилась (не определилась)
predetermined	C2	32682	Adjective			Everything is predetermined.	Всё предопределено.	Determined in advance.	qualities	нет русского перевода в Wiktionary
whose	A1	1206	Determiner		of whom (interrogative) → чей/чейный; of whom (relative) → чей; of which (relative) → который/чей	Whose glass?	Чей стакан?	Of whom, belonging to whom; which person's or people's.	linkers	перевод не привязывается к значению — риск взять чужое
pan	B1	3409	Noun	сковорода	противень	Clean the pots and pans.	Почисти кастрюли.	A wide, flat receptacle used around the house, especially for cooking.	food	многозначное слово, подтвердить перевод нечем (7 разных этимологий; части речи: Noun/Verb/Adjective)
optimal	C1	12832	Adjective	оптимальный	лучший; наилучший	Finding the optimal balance between features and price is a common problem.		The best, most favourable or desirable, especially under some restriction.	qualities	пример: слова нет в предложении
esquire	C2	32683	Noun		squire → эсквайр/сквайр; shield bearer → оруженосец; gentleman who escorts a lady in public → кавалер			A male member of the gentry ranking below a knight.		перевод не привязывается к значению — риск взять чужое; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
monkey	B1	3412	Noun		primate → обезьяна; mischievous child → проказник/проказница/шалун	That's a monkey.	Это обезьяна.	A member of the clade Simiiformes other than those in the clade Hominoidea containing apes, generally.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
refinance	B2	5262	Verb	рефинансировать				To renew the terms of a loan.	actions	пример: слова нет в предложении
fate	B1	3414	Noun	судьба	доля; участь; рок	Don't tempt fate.	Не искушай судьбу!	The presumed cause, force, principle, or divine will that predetermines events.		категория не определилась (не определилась)
term	A1	1212	Noun	срок		That's a pejorative term.	Это уничижительное выражение.	That which limits the extent of anything; limit, extremity, bound, boundary, terminus.		многозначное слово, подтвердить перевод нечем (3 разных этимологий; части речи: Noun/Verb/Adjective; значений: 7); категория не определилась (не определилась)
conflict	B1	3415	Noun	конфликт	столкновение	A conflict is brewing.	Назревает конфликт.	A clash or disagreement, often violent, between two or more opposing groups or individuals.		категория не определилась (не определилась)
junk	B2	5266	Noun	хлам	барахло; рухлядь	What's this junk?	Что это за хлам?	Miscellaneous items of little value, especially discarded or unwanted items.		категория не определилась (не определилась)
august	A1	1213	Adjective	величественный	величавый; царственный; августейший	August has thirty-one days.	В августе тридцать один день.	Awe-inspiring, majestic, noble, venerable.	qualities	многозначное слово, подтвердить перевод нечем (3 разных этимологий; части речи: Adjective/Verb/Noun)
preview	B2	5268	Noun	предосмотр		There was a special preview last night.	Прошлой ночью был специальный предпоказ.	An experience of something in advance.		категория не определилась (не определилась)
gramps	C1	12836	Noun					Grandpa, grandfather.		нет русского перевода в Wiktionary; пример: не для детей (в переводе): умер; категория не определилась (не определилась)
finish	A1	1214	Noun	конец	финал; окончание; финиш	I finish.	Я закончил.	An end; the end of anything.		категория не определилась (не определилась)
rack	B2	5269	Noun	этажерка	стеллаж; полка	That car has a roof rack.	У той машины есть багажник на крыше.	A series of one or more shelves, stacked one above the other.		многозначное слово, подтвердить перевод нечем (8 разных этимологий); категория не определилась (не определилась)
benz	C1	12837	Noun					The drug amphetamine, used recreationally for its stimulant effects.		нет русского перевода в Wiktionary; пример: слово в примере — имя собственное; категория не определилась (не определилась)
smart	A1	1215	Adjective	сообразительный	находчивый; понятливый; смышлёный	Be smart.	Будьте умными.	Exhibiting social ability or cleverness.	society	многозначное слово, подтвердить перевод нечем (3 разных этимологий; части речи: Verb/Adjective/Noun)
maturation	C2	32690	Noun	созревание				The process of becoming mature.	actions	пример: слова нет в предложении
pop	A1	1217	Noun	хлопок		I heard a pop.	Я услышал хлопок.	A loud, sharp sound, as of a cork coming out of a bottle, especially when the contents are pressurized by fizziness.		категория не определилась (не определилась)
charity	B1	3425	Noun	благотворительное общество	благотворительная организация; богадельня; благотворительный фонд	Charity is a virtue.	Милосердие - это добродетель.	An organization, the objective of which is to carry out a charitable purpose.		перевод примера относится к другому значению; категория не определилась (не определилась)
bud	B2	5272	Noun	бутон	почка	The roses are in bud.	Розы в бутонах.	A newly sprouted leaf or blossom that has not yet unfolded.		категория не определилась (не определилась)
feed	A1	1221	Verb	кормить		Feed us.	Покорми нас.	To give (someone or something) food to eat.	food	многозначное слово, подтвердить перевод нечем (3 разных этимологий)
discovery	B1	3428	Noun	открытие		I made a discovery.	Я сделал открытие.	Something discovered.		категория не определилась (не определилась)
lingerie	B2	5275	Noun	дамское бельё	женское нижнее бельё			Underwear or nightclothes (typically women's), especially when lacy or designed to be seductive.		пример: не для детей [секс и ругательства]: sexy; категория не определилась (не определилась)
rich	A1	1225	Adjective	богатый	состоятельный; зажиточный; обеспеченный	Rags to riches.	Из грязи в князи.	Wealthy: having a lot of money and possessions.	money	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Noun/Verb)
constant	B1	3432	Adjective	постоянный				Unchanged through time or space; permanent.	qualities	пример: слова нет в предложении
profession	B2	5277	Noun	обет		He's a doctor by profession.	Он врач по профессии.	A declaration of faith. A promise or vow made on entering a religious order.		перевод примера относится к другому значению; категория не определилась (не определилась)
roadway	C2	32697	Noun	проезжая часть				A way used as a road.	city	пример: не для детей (в переводе): рай
bibliography	B2	5278	Noun	библиография				A section of a written work containing citations, not quotations, to all the books referred to in the work.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
refractive	C2	32698	Adjective					That refracts; causing or relating to refraction.	qualities	нет русского перевода в Wiktionary; пример: слова нет в предложении
vessel	B2	5282	Noun	судно	корабль	Empty vessels make the most noise.	Пустая бочка пуще гремит.	A craft for transportation on or in water, air, or space. Any craft designed for transportation on or in water, such as a ship, boat.		категория не определилась (не определилась)
protection	A1	1228	Noun	защита	охрана	Raincoats give protection from rain.		The process of keeping (something or someone) safe.	actions	пример: слова нет в предложении
colorado	B1	3437	Noun					A cigar of medium color and strength.		нет русского перевода в Wiktionary; пример: длина английского предложения; категория не определилась (не определилась)
absorbed	C1	12852	Adjective	поглощённый	увлечённый	fully absorbed		Fully occupied with one's thoughts; engrossed.	qualities	пример: слова нет в предложении
immediate	B1	3438	Adjective	немедленный		Computer users these days expect immediate results when they click on a link.		Happening right away, instantly, with no delay.	qualities	пример: слова нет в предложении
electricity	B1	3439	Noun		form of energy → электричество; electrical power → электроэнергия/ток/электроток	Wires carry electricity.	По проводам идёт электрический ток.	Originally, a property of amber and certain other nonconducting substances to attract lightweight material when rubbed.	objects	перевод не привязывается к значению — риск взять чужое
tying	C1	12855	Noun					Action of the verb to tie; ligature.	actions	нет русского перевода в Wiktionary; пример: слова нет в предложении
eek	C2	32708	Verb					To produce a high-pitched squeal, as in fear or trepidation.	actions	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
pressure	A1	1236	Noun	давление	нажим	Check the tyre pressure.	Проверьте давление в шинах.	A pressing; a force applied to a surface.		категория не определилась (не определилась)
experiment	B1	3444	Noun	эксперимент	опыт; проба	conduct an experiment		A test under controlled conditions made to either demonstrate a known truth, examine the validity of a hypothesis.		пример: слова нет в предложении; категория не определилась (не определилась)
mesa	C1	12857	Noun	столовая гора		A few more miles of hot sand and gravel and red stone brought us around a low mesa to the Little Colorado River.		A flat area of land or plateau higher than other land, with one or more clifflike edges.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
discography	C1	12859	Noun	дискография				A catalog of the total releases of a musical act (usually with release dates of, and often other information about, the releases).		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
self	A1	1239	Noun	себе	сам; себя; собой	I lacked self-confidence.	Мне не хватало уверенности в себе.	One individual's personality, character, demeanor, or disposition.		категория не определилась (не определилась)
focus	A1	1240	Noun	наводка на резкость		Try to focus.	Попробуй сосредоточиться.	A point at which reflected or refracted rays of light converge.		категория не определилась (не определилась)
recommendation	B2	5297	Noun	рекомендация				An act of recommending.	actions	пример: слова нет в предложении
fuji	C1	12863	Noun					A plain spun silk fabric.		нет русского перевода в Wiktionary; пример: слово в примере — имя собственное; категория не определилась (не определилась)
register	A1	1243	Noun	запись	регистр; опись	I decided to register.	Я решил записаться.	A formal recording of names, events, transactions, etc.		категория не определилась (не определилась)
mileage	C1	12866	Noun	пробег		What's the mileage on this car?	Какой пробег в милях у этой машины?	The total distance travelled in miles or in air miles.		категория не определилась (не определилась)
ram	B1	3455	Noun	баран	овен	This isn't a ram, it's a goat!	Это не баран, это козёл!	A male sheep, typically uncastrated.		категория не определилась (не определилась)
agriculture	B2	5304	Noun	сельское хозяйство	земледелие; агрокультура; фермерство			The art or science of cultivating the ground, including the growing and harvesting of crops, and the rearing and management of livestock.	art	пример: Tatoeba недоступна (offline: нет в кэше)
plaque	C1	12868	Noun	бляшка	бляха	Tartar is a form of hardened dental plaque.	Зубной камень - это отвердевший зубной налёт.	Any flat, thin piece of clay, ivory, metal, etc., used for ornament, or for painting pictures upon, as a dish, plate, slab, etc.	food	перевод примера относится к другому значению
resolution	B1	3456	Noun	резолюция	решение; постановление	The club failed to pass our resolution.	Наша резолюция не прошла в клубе.	A firm decision or an official decision.		категория не определилась (не определилась)
enormous	B2	5306	Adjective	огромный	громадный; гигантский; здоровенный			Deviating from the norm; unusual, extraordinary.	qualities	пример: не для детей (в переводе): ром
hemlock	C2	32718	Noun	болиголов	омег			Any of the poisonous umbelliferous plants, of the genera Conium, either Conium maculatum or Conium chaerophylloides. Cicuta (water hemlock).	nature	пример: нет предложений в Tatoeba
operation	A1	1247	Noun	действие		It is dangerous to look at the beam of a laser while it is in operation.		The method by which a device performs its function.	tech	пример: слова нет в предложении
grey	B1	3458	Adjective			Her hair is grey.	У неё седые волосы.	Commonwealth standard spelling of gray.	qualities	нет русского перевода в Wiktionary (вынесен на отдельную страницу)
ted	B1	3461	Noun			Ted loves his wife Elizabeth.	Тед любит свою жену Элизабет.	A Teddy boy.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
onsite	C1	12876	Adjective					On or at a site.	qualities	нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: нет предложений в Tatoeba
tour	A1	1254	Noun	путешествие	поездка; турне	I'll be your tour guide.	Я буду вашим гидом.	A journey through a particular building, estate, country, etc.	travel	многозначное слово, подтвердить перевод нечем (3 разных этимологий)
operator	B1	3464	Noun	оператор		The drone crashed because of operator error.		A person or organisation that operates a device, system, service, etc.	people	пример: слова нет в предложении
broadway	B2	5313	Noun					An esplanade.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
trial	A1	1259	Noun		chance to test something out → испытание/опыт/проба; meeting in a court of law → суд/разбирательство/процесс; difficult experience → испытание/неприятность	There was a trial.	Был суд.	An occasion on which a person or thing is tested to find out how well they perform or how suitable they are.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
facebook	B2	5315	Noun			Facebook sucks.	Фейсбук — отстой.	A reference book or electronic directory containing the photographs and names of various individuals.	tech	нет русского перевода в Wiktionary
stroll	C1	12878	Noun	прогулка	променад; поход	I went for a stroll.	Я пошёл на прогулку.	A wandering on foot; an idle and leisurely walk; a ramble; a saunter.		категория не определилась (не определилась)
trouser	C2	32726	Noun			I need new trousers.	Мне нужны новые штаны.	Of or relating to trousers.		нет русского перевода в Wiktionary (вынесен на отдельную страницу); категория не определилась (не определилась)
communion	C1	12880	Noun					A joining together of minds or spirits; a mental connection.		нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: длина английского предложения; категория не определилась (не определилась)
involve	B2	5321	Verb		to cause or engage (someone or something → касаться/коснуться; to entangle, intertwine, or mingle (some → содержать/включать/включить; to cover or envelop (something) complete → обволакивать/окутывать/покрывать; to form (something) into a coil or spira → обёртывать/оборачивать/обернуть; to make (something) intricate → запутывать/запутать	Does it involve me?	Это меня затрагивает?	To have (something) as a component or a related part; to comprise, to include.	actions	перевод не привязывается к значению — риск взять чужое
symposium	C1	12884	Noun	симпозиум				A conference or other meeting for discussion of a topic, especially one in which the participants make presentations.	communication	пример: нет предложений в Tatoeba
silver	A1	1266	Noun	серебряные изделия		The coin is silver.	Эта монета серебряная.	A lustrous, white, metallic element, atomic number 47, atomic weight 107.87, symbol Ag.		категория не определилась (не определилась)
ammo	C1	12885	Noun			I'm out of ammo.	У меня кончились патроны.	Chips or money, usually at a casino.	money	нет русского перевода в Wiktionary
dig	B1	3475	Verb	копать	выкапывать; рыть; выкопать	Dig here.	Копайте здесь.	To move hard-packed earth out of the way, especially downward to make a hole with a shovel. Or to drill, or the like, through rocks, roads.	actions	многозначное слово, подтвердить перевод нечем (4 разных этимологий)
horny	B2	5324	Adjective	роговой	мозолистый			Hard or bony, like an animal's horn.	animals	пример: предложение не целое; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
godmother	C1	12888	Noun	крёстная мать	крёстная			A woman present at the christening of a baby who promises to help raise the child in a Christian manner.	people	пример: не для детей (в переводе): крест
sisterhood	C2	32734	Noun	сестринство				The state, or kinship of being sisters.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
collection	A1	1274	Noun	коллекция	собрание; сборник	The attic contains a remarkable collection of antiques, oddities, and random junk.		A set of items or amount of material procured, gathered or presented together.	objects	пример: слова нет в предложении
benjamin	B2	5326	Noun					A balsamic resin from the bark of Styrax trees used in perfumes, incense, and medicine; benzoin resin.	health	нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: длина английского предложения
relocation	C1	12889	Noun	переселение	перемещение; релокация; переезд			The act of moving from one place to another.	actions	пример: слова нет в предложении
federal	A1	1276	Adjective	федеративный	союзный			Pertaining to a league or treaty; derived from an agreement or covenant between parties, especially between nations.	communication	пример: не для детей [страны и национальности]: germany
sweat	B2	5329	Noun	пот	испарина	I sweat.	Я потею.	The state of one who is sweating; diaphoresis.	people	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
appreciative	C2	32739	Adjective			be appreciative of something		Showing appreciation or gratitude.	qualities	нет русского перевода в Wiktionary; пример: слова нет в предложении
lower	A1	1279	Adjective	нижний		A little lower.	Чуть ниже.	Bottom; more towards the bottom than the middle of an object.	qualities	многозначное слово, подтвердить перевод нечем (2 разных этимологий; части речи: Adjective/Adverb/Verb/Noun)
champion	B1	3480	Noun	чемпион	чемпионка; победитель; победительница	He is the champion.	Он является чемпионом.	An ongoing winner in a game or contest.		категория не определилась (не определилась)
swimwear	C1	12893	Noun					Items of clothing appropriate for swimming.	clothes	нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: нет предложений в Tatoeba
bench	B2	5333	Noun	скамейка	скамья; лавка; лавочка	Sit on the bench.	Присаживайтесь на скамейку.	A long seat with or without a back, found for example in parks and schools.		категория не определилась (не определилась)
bob	A1	1282	Verb	качаться	выныривать; вынырнуть	Bob can cook.	Боб умеет готовить.	To move gently and vertically, in either a single motion or repeatedly up and down, at or near the surface of a body of water.	actions	многозначное слово, подтвердить перевод нечем (5 разных этимологий)
ross	B1	3486	Noun					The rough, scaly surface on the bark of trees.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
mechanism	B2	5334	Noun	механизм		The locking mechanism has jammed.	Механизм блокировки заклинило.	Any mechanical means for the conversion or control of motion, or the transmission or control of power.		категория не определилась (не определилась)
eight	A1	1283	Noun	восьмёрка		He is eight.	Ему восемь.	NATO & ICAO radiotelephony clear code (spelling-alphabet name) for the digit 8.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
buried	B1	3487	Adjective			I buried it.	Я его закопал.	Placed in a grave at a burial.	qualities	нет русского перевода в Wiktionary
bust	B2	5335	Verb	застукать	спалить	Airlines are going bust.	Авиакомпании разоряются.	To arrest (someone or a group of people) for a crime.	society	многозначное слово, подтвердить перевод нечем (2 разных этимологий; части речи: Verb/Noun/Adjective)
applet	C1	12896	Noun	апплет	аплет			A small program module that runs under the control of a larger application, typically a web browser.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
jacky	C2	32749	Noun					English gin.		нет русского перевода в Wiktionary; пример: слова нет в предложении; категория не определилась (не определилась)
confused	B1	3488	Adjective		chaotic, jumbled or muddled → спутанный/беспорядочный; making no sense; illogical → бессмысленный; embarrassed → сконфуженный/смущённый	She is confused.	Она растерянна.	Unable to think clearly or understand.	mind	перевод не привязывается к значению — риск взять чужое
goin	B2	5336	Verb					Pronunciation spelling of going.	actions	нет русского перевода в Wiktionary; пример: слово в примере — имя собственное
coot	C2	32750	Noun	лысуха	лыска	Tom can't tell a coot from a moorhen.	Том не может отличить лысуху от камышницы.	Any of various aquatic birds of the genus Fulica that are mainly black with a prominent frontal shield on the forehead.		категория не определилась (не определилась)
receive	A1	1287	Verb		to take what is offered, accept from ano → получать/получить; to take possession of → получать/получить; to act as a host for guests → принимать/принять; telecommunications: to detect a signal → получать/ловить/улавливать	They receive him well.	Они хорошо его принимают.	To be given, sent, or paid something.	actions	перевод не привязывается к значению — риск взять чужое
consolidation	B1	3490	Noun					The act or process of consolidating, making firm, or uniting; the state of being consolidated.		нет русского перевода в Wiktionary; пример: слова нет в предложении; категория не определилась (не определилась)
annoying	B2	5338	Adjective	досадный	надоедливый; раздражающий; назойливый	It was annoying.	Это раздражало.	Causing irritation or annoyance; troublesome; vexatious.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Verb/Noun)
spokesman	C1	12900	Noun	представитель	спикер			One who speaks as the voice of another person or a group of people.	people	пример: нет предложений в Tatoeba
caprice	C2	32752	Noun	каприз				An impulsive, seemingly unmotivated action, change of mind, or notion.	change	пример: нет предложений в Tatoeba
brain	A1	1288	Noun		organ → головной мозг/мозг/мозги; person providing intelligence → мозг/голова; brains: intellect → мозг/мозги/башка	Use your brain.	Включи мозги.	The control center of the central nervous system of an animal located in the skull, consisting of the cerebrum, cerebellum, and brainstem.	animals	перевод не привязывается к значению — риск взять чужое
fed	B1	3492	Noun			He fed us.	Он нас покормил.	A federal government officer or official.	society	нет русского перевода в Wiktionary
wha	C1	12901	Interjection			Wha? Speak up, I can't hear you!		Pronunciation spelling of what.	communication	нет русского перевода в Wiktionary; пример: предложение не целое
